"Time [ms]","Size [B]","Used [B]"
"2:47:01.480 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:47:02.480 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:47:03.481 PM, Sep 25, 2022","113,246,240","21,595,960"
"2:47:04.481 PM, Sep 25, 2022","566,231,072","135,999,544"
"2:47:05.481 PM, Sep 25, 2022","562,036,768","387,524,232"
"2:47:06.481 PM, Sep 25, 2022","562,036,768","387,524,232"
"2:47:07.482 PM, Sep 25, 2022","562,036,768","387,524,232"
"2:47:08.482 PM, Sep 25, 2022","562,036,768","387,524,232"
"2:47:09.482 PM, Sep 25, 2022","562,036,768","387,524,232"
"2:47:10.482 PM, Sep 25, 2022","562,036,768","387,524,232"
"2:47:11.483 PM, Sep 25, 2022","562,036,768","387,524,232"
"2:47:12.483 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:13.483 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:14.484 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:15.484 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:16.484 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:17.484 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:18.485 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:19.485 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:20.485 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:21.485 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:22.486 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:23.486 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:24.486 PM, Sep 25, 2022","142,606,368","21,604,840"
"2:47:25.486 PM, Sep 25, 2022","616,562,720","332,990,656"
"2:47:26.486 PM, Sep 25, 2022","587,202,592","56,158,816"
"2:47:27.486 PM, Sep 25, 2022","587,202,592","56,158,816"
"2:47:28.487 PM, Sep 25, 2022","587,202,592","56,158,816"
