"Time [ms]","Size [B]","Used [B]"
"3:12:53.899 PM, Sep 25, 2022","293,601,312","63,600,168"
"3:12:54.899 PM, Sep 25, 2022","293,601,312","63,600,168"
"3:12:55.900 PM, Sep 25, 2022","293,601,312","63,600,168"
"3:12:56.900 PM, Sep 25, 2022","293,601,312","63,600,168"
"3:12:57.900 PM, Sep 25, 2022","994,050,080","447,206,320"
"3:12:58.900 PM, Sep 25, 2022","994,050,080","443,433,256"
"3:12:59.900 PM, Sep 25, 2022","994,050,080","443,433,256"
"3:13:00.901 PM, Sep 25, 2022","994,050,080","443,433,256"
"3:13:01.901 PM, Sep 25, 2022","994,050,080","443,433,256"
"3:13:02.901 PM, Sep 25, 2022","994,050,080","443,433,256"
"3:13:03.901 PM, Sep 25, 2022","994,050,080","443,433,256"
"3:13:04.901 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:05.902 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:06.902 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:07.902 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:08.903 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:09.903 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:10.903 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:11.903 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:12.904 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:13.904 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:14.904 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:15.905 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:16.905 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:17.905 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:18.905 PM, Sep 25, 2022","322,961,440","63,600,168"
"3:13:19.906 PM, Sep 25, 2022","922,746,912","283,065,792"
"3:13:20.906 PM, Sep 25, 2022","922,746,912","283,065,792"
"3:13:21.906 PM, Sep 25, 2022","922,746,912","283,065,792"
"3:13:22.907 PM, Sep 25, 2022","922,746,912","283,065,792"
"3:13:23.907 PM, Sep 25, 2022","922,746,912","283,065,792"
"3:13:24.907 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:25.907 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:26.907 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:27.908 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:28.908 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:29.908 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:30.909 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:31.909 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:32.909 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:33.909 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:34.910 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:35.913 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:36.910 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:37.910 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:38.911 PM, Sep 25, 2022","322,961,440","63,600,176"
"3:13:39.911 PM, Sep 25, 2022","738,197,536","291,811,040"
"3:13:40.911 PM, Sep 25, 2022","738,197,536","291,811,040"
"3:13:41.911 PM, Sep 25, 2022","738,197,536","291,811,040"
"3:13:42.912 PM, Sep 25, 2022","738,197,536","291,811,040"
"3:13:43.912 PM, Sep 25, 2022","738,197,536","291,811,040"
"3:13:44.912 PM, Sep 25, 2022","738,197,536","291,811,040"
"3:13:45.913 PM, Sep 25, 2022","738,197,536","291,811,040"
"3:13:46.913 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:47.913 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:48.913 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:49.914 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:50.914 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:51.914 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:52.915 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:53.915 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:54.915 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:55.916 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:56.916 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:57.916 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:58.917 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:13:59.917 PM, Sep 25, 2022","293,601,312","145,885,512"
"3:14:00.917 PM, Sep 25, 2022","612,368,416","296,890,040"
"3:14:01.917 PM, Sep 25, 2022","612,368,416","301,084,344"
"3:14:02.917 PM, Sep 25, 2022","612,368,416","301,084,344"
"3:14:03.918 PM, Sep 25, 2022","612,368,416","301,084,344"
"3:14:04.918 PM, Sep 25, 2022","612,368,416","301,084,344"
"3:14:05.918 PM, Sep 25, 2022","612,368,416","301,084,344"
"3:14:06.918 PM, Sep 25, 2022","612,368,416","301,084,344"
"3:14:07.919 PM, Sep 25, 2022","612,368,416","301,084,344"
"3:14:08.919 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:09.919 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:10.919 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:11.920 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:12.920 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:13.920 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:14.920 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:15.921 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:16.921 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:17.921 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:18.922 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:19.922 PM, Sep 25, 2022","293,601,312","63,600,176"
"3:14:20.922 PM, Sep 25, 2022","1,186,988,064","832,719,312"
"3:14:21.922 PM, Sep 25, 2022","2,071,986,208","509,889,496"
"3:14:22.922 PM, Sep 25, 2022","2,071,986,208","346,198,528"
"3:14:23.923 PM, Sep 25, 2022","2,071,986,208","635,653,936"
"3:14:24.923 PM, Sep 25, 2022","2,071,986,208","639,848,240"
"3:14:25.923 PM, Sep 25, 2022","2,071,986,208","639,848,240"
"3:14:26.923 PM, Sep 25, 2022","2,071,986,208","639,848,240"
"3:14:27.924 PM, Sep 25, 2022","2,071,986,208","639,848,240"
"3:14:28.924 PM, Sep 25, 2022","2,071,986,208","639,848,240"
"3:14:29.924 PM, Sep 25, 2022","2,071,986,208","639,848,240"
"3:14:30.925 PM, Sep 25, 2022","2,071,986,208","639,848,240"
"3:14:31.925 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:32.925 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:33.926 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:34.926 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:35.926 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:36.926 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:37.926 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:38.927 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:39.927 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:40.927 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:41.928 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:42.928 PM, Sep 25, 2022","310,378,528","63,600,280"
"3:14:43.928 PM, Sep 25, 2022","1,216,348,192","367,663,504"
"3:14:44.928 PM, Sep 25, 2022","1,950,351,392","250,393,976"
"3:14:45.928 PM, Sep 25, 2022","2,688,548,896","439,007,456"
"3:14:46.929 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:47.929 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:48.929 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:49.930 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:50.930 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:51.930 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:52.931 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:53.931 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:54.931 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:55.932 PM, Sep 25, 2022","2,688,548,896","346,730,440"
"3:14:56.932 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:14:57.932 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:14:58.933 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:14:59.933 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:15:00.933 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:15:01.933 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:15:02.933 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:15:03.934 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:15:04.934 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:15:05.934 PM, Sep 25, 2022","293,601,312","63,600,480"
"3:15:06.934 PM, Sep 25, 2022","293,601,312","139,097,952"
"3:15:07.934 PM, Sep 25, 2022","2,189,426,720","1,533,862,008"
"3:15:08.934 PM, Sep 25, 2022","2,189,426,720","1,340,919,064"
"3:15:09.934 PM, Sep 25, 2022","2,810,183,712","971,697,512"
"3:15:10.935 PM, Sep 25, 2022","2,810,183,712","1,516,963,720"
"3:15:11.935 PM, Sep 25, 2022","2,810,183,712","1,516,963,720"
"3:15:12.936 PM, Sep 25, 2022","2,810,183,712","1,516,963,720"
"3:15:13.936 PM, Sep 25, 2022","2,810,183,712","1,516,963,720"
"3:15:14.936 PM, Sep 25, 2022","2,810,183,712","1,516,963,720"
"3:15:15.936 PM, Sep 25, 2022","2,810,183,712","1,516,963,720"
"3:15:16.937 PM, Sep 25, 2022","2,810,183,712","1,516,963,720"
"3:15:17.937 PM, Sep 25, 2022","2,810,183,712","1,516,963,720"
"3:15:18.937 PM, Sep 25, 2022","2,810,183,712","1,516,963,720"
"3:15:19.938 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:20.938 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:21.938 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:22.939 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:23.939 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:24.939 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:25.940 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:26.940 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:27.940 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:28.941 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:29.941 PM, Sep 25, 2022","310,378,528","63,647,360"
"3:15:30.941 PM, Sep 25, 2022","503,316,512","288,996,952"
"3:15:31.941 PM, Sep 25, 2022","1,287,651,360","294,334,184"
"3:15:32.942 PM, Sep 25, 2022","1,287,651,360","294,334,184"
"3:15:33.942 PM, Sep 25, 2022","1,287,651,360","294,334,184"
"3:15:34.942 PM, Sep 25, 2022","1,287,651,360","294,334,184"
"3:15:35.942 PM, Sep 25, 2022","1,287,651,360","294,334,184"
"3:15:36.943 PM, Sep 25, 2022","1,287,651,360","294,334,184"
"3:15:37.943 PM, Sep 25, 2022","1,287,651,360","294,334,184"
"3:15:38.943 PM, Sep 25, 2022","1,287,651,360","294,334,184"
"3:15:39.943 PM, Sep 25, 2022","1,287,651,360","294,334,184"
"3:15:40.944 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:41.944 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:42.944 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:43.945 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:44.945 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:45.945 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:46.945 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:47.946 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:48.946 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:49.946 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:50.946 PM, Sep 25, 2022","335,544,352","63,612,304"
"3:15:51.946 PM, Sep 25, 2022","335,544,352","113,943,952"
"3:15:52.946 PM, Sep 25, 2022","738,197,536","422,816,936"
"3:15:53.947 PM, Sep 25, 2022","738,197,536","452,105,976"
"3:15:54.947 PM, Sep 25, 2022","738,197,536","452,105,976"
"3:15:55.947 PM, Sep 25, 2022","738,197,536","452,105,976"
"3:15:56.947 PM, Sep 25, 2022","738,197,536","452,105,976"
"3:15:57.948 PM, Sep 25, 2022","738,197,536","452,105,976"
"3:15:58.948 PM, Sep 25, 2022","738,197,536","452,105,976"
"3:15:59.948 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:00.948 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:01.949 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:02.949 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:03.949 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:04.949 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:05.949 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:06.950 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:07.950 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:08.950 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:09.950 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:10.951 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:11.951 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:12.951 PM, Sep 25, 2022","322,961,440","63,629,864"
"3:16:13.951 PM, Sep 25, 2022","817,889,312","350,082,840"
"3:16:14.952 PM, Sep 25, 2022","817,889,312","468,927,688"
"3:16:15.952 PM, Sep 25, 2022","817,889,312","468,927,688"
"3:16:16.952 PM, Sep 25, 2022","817,889,312","468,927,688"
"3:16:17.952 PM, Sep 25, 2022","817,889,312","468,927,688"
"3:16:18.953 PM, Sep 25, 2022","817,889,312","468,927,688"
"3:16:19.953 PM, Sep 25, 2022","817,889,312","468,927,688"
"3:16:20.953 PM, Sep 25, 2022","817,889,312","468,927,688"
"3:16:21.954 PM, Sep 25, 2022","817,889,312","468,927,688"
"3:16:22.954 PM, Sep 25, 2022","817,889,312","468,927,688"
"3:16:23.954 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:24.955 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:25.955 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:26.955 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:27.956 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:28.956 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:29.956 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:30.957 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:31.957 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:32.957 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:33.957 PM, Sep 25, 2022","310,378,528","63,606,768"
"3:16:34.957 PM, Sep 25, 2022","310,378,528","164,270,064"
"3:16:35.958 PM, Sep 25, 2022","310,378,528","164,270,064"
"3:16:36.958 PM, Sep 25, 2022","310,378,528","164,270,064"
"3:16:37.959 PM, Sep 25, 2022","310,378,528","164,270,064"
"3:16:38.959 PM, Sep 25, 2022","310,378,528","164,270,064"
"3:16:39.959 PM, Sep 25, 2022","310,378,528","164,270,064"
"3:16:40.959 PM, Sep 25, 2022","310,378,528","164,270,064"
"3:16:41.960 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:42.960 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:43.960 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:44.961 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:45.961 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:46.961 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:47.962 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:48.962 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:49.962 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:50.962 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:51.963 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:52.963 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:53.963 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:16:54.963 PM, Sep 25, 2022","281,018,400","67,801,064"
"3:16:55.964 PM, Sep 25, 2022","281,018,400","63,634,408"
"3:16:56.964 PM, Sep 25, 2022","281,018,400","63,634,408"
"3:16:57.964 PM, Sep 25, 2022","281,018,400","63,634,408"
"3:16:58.964 PM, Sep 25, 2022","281,018,400","63,634,408"
"3:16:59.965 PM, Sep 25, 2022","281,018,400","63,634,408"
"3:17:00.965 PM, Sep 25, 2022","281,018,400","63,634,408"
"3:17:01.965 PM, Sep 25, 2022","281,018,400","63,634,408"
"3:17:02.965 PM, Sep 25, 2022","281,018,400","63,634,408"
"3:17:03.965 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:04.966 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:05.966 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:06.966 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:07.967 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:08.967 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:09.967 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:10.967 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:11.968 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:12.968 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:13.968 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:14.968 PM, Sep 25, 2022","281,018,400","63,606,760"
"3:17:15.969 PM, Sep 25, 2022","281,018,400","164,270,056"
"3:17:16.969 PM, Sep 25, 2022","281,018,400","164,270,056"
"3:17:17.969 PM, Sep 25, 2022","281,018,400","164,270,056"
"3:17:18.970 PM, Sep 25, 2022","281,018,400","164,270,056"
"3:17:19.970 PM, Sep 25, 2022","281,018,400","164,270,056"
"3:17:20.970 PM, Sep 25, 2022","281,018,400","164,270,056"
"3:17:21.971 PM, Sep 25, 2022","281,018,400","164,270,056"
"3:17:22.971 PM, Sep 25, 2022","281,018,400","164,270,056"
"3:17:23.971 PM, Sep 25, 2022","281,018,400","164,270,056"
"3:17:24.972 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:25.972 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:26.972 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:27.973 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:28.973 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:29.973 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:30.973 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:31.974 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:32.974 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:33.974 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:34.974 PM, Sep 25, 2022","281,018,400","63,600,848"
"3:17:35.974 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:36.975 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:37.975 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:38.975 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:39.975 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:40.976 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:41.976 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:42.976 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:43.977 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:44.977 PM, Sep 25, 2022","281,018,400","122,333,448"
"3:17:45.977 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:46.977 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:47.978 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:48.978 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:49.978 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:50.978 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:51.979 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:52.979 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:53.979 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:54.979 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:55.980 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:56.980 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:57.980 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:17:58.980 PM, Sep 25, 2022","281,018,400","118,141,264"
"3:17:59.980 PM, Sep 25, 2022","281,018,400","118,141,264"
"3:18:00.980 PM, Sep 25, 2022","281,018,400","118,141,264"
"3:18:01.981 PM, Sep 25, 2022","281,018,400","118,141,264"
"3:18:02.981 PM, Sep 25, 2022","281,018,400","118,141,264"
"3:18:03.981 PM, Sep 25, 2022","281,018,400","122,335,568"
"3:18:04.982 PM, Sep 25, 2022","281,018,400","122,335,568"
"3:18:05.982 PM, Sep 25, 2022","281,018,400","122,335,568"
"3:18:06.982 PM, Sep 25, 2022","281,018,400","122,335,568"
"3:18:07.983 PM, Sep 25, 2022","281,018,400","122,335,568"
"3:18:08.983 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:09.983 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:10.983 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:11.984 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:12.984 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:13.984 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:14.984 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:15.984 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:16.985 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:17.985 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:18.986 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:19.986 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:20.986 PM, Sep 25, 2022","281,018,400","63,600,904"
"3:18:21.986 PM, Sep 25, 2022","281,018,400","118,137,176"
"3:18:22.986 PM, Sep 25, 2022","281,018,400","122,331,480"
"3:18:23.986 PM, Sep 25, 2022","281,018,400","122,331,480"
"3:18:24.987 PM, Sep 25, 2022","281,018,400","122,331,480"
"3:18:25.987 PM, Sep 25, 2022","281,018,400","122,331,480"
"3:18:26.987 PM, Sep 25, 2022","281,018,400","122,331,480"
"3:18:27.988 PM, Sep 25, 2022","281,018,400","122,331,480"
"3:18:28.988 PM, Sep 25, 2022","281,018,400","122,331,480"
"3:18:29.988 PM, Sep 25, 2022","281,018,400","122,331,480"
"3:18:30.988 PM, Sep 25, 2022","281,018,400","122,331,480"
"3:18:31.989 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:32.989 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:33.989 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:34.990 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:35.990 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:36.990 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:37.991 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:38.991 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:39.991 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:40.992 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:41.992 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:42.992 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:43.992 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:44.993 PM, Sep 25, 2022","281,018,400","63,645,648"
"3:18:45.993 PM, Sep 25, 2022","281,018,400","168,503,248"
"3:18:46.993 PM, Sep 25, 2022","281,018,400","168,503,248"
"3:18:47.993 PM, Sep 25, 2022","281,018,400","168,503,248"
"3:18:48.994 PM, Sep 25, 2022","281,018,400","168,503,248"
"3:18:49.994 PM, Sep 25, 2022","281,018,400","168,503,248"
"3:18:50.994 PM, Sep 25, 2022","281,018,400","168,503,248"
"3:18:51.994 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:18:52.995 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:18:53.995 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:18:54.995 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:18:55.995 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:18:56.996 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:18:57.996 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:18:58.996 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:18:59.997 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:00.997 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:01.997 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:02.997 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:03.998 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:04.998 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:05.998 PM, Sep 25, 2022","281,018,400","168,464,384"
"3:19:06.999 PM, Sep 25, 2022","281,018,400","168,464,384"
"3:19:07.999 PM, Sep 25, 2022","281,018,400","168,464,384"
"3:19:08.999 PM, Sep 25, 2022","281,018,400","168,464,384"
"3:19:09.999 PM, Sep 25, 2022","281,018,400","168,464,384"
"3:19:11.000 PM, Sep 25, 2022","281,018,400","168,464,384"
"3:19:12.000 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:13.000 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:14.001 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:15.001 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:16.001 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:17.002 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:18.002 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:19.002 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:20.002 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:21.003 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:22.003 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:23.003 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:24.003 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:25.004 PM, Sep 25, 2022","281,018,400","63,606,784"
"3:19:26.004 PM, Sep 25, 2022","281,018,400","126,521,344"
"3:19:27.004 PM, Sep 25, 2022","281,018,400","168,464,384"
"3:19:28.004 PM, Sep 25, 2022","281,018,400","168,464,384"
"3:19:29.005 PM, Sep 25, 2022","281,018,400","168,464,384"
